,PC1,PC2,tsne1,tsne2,time
E32_626,2.0757939617757235,-0.7861478728090003,19.412865,-50.96112,0.6266266266266266
E33_815,2.5102423249293415,-0.4769344384493516,2.2327373,-71.29482,0.8158158158158159
E34_895,1.4697801384631761,-0.556006617524274,21.2517,-54.53361,0.8958958958958959
E35_138,-0.7055867701099129,0.9800826786311461,-40.445198,31.865553,0.13813813813813813
E36_212,-0.9818322039920824,0.36473460898538723,4.001138,49.238678,0.2122122122122122
E37_289,-0.5897165314788294,0.1616038588067523,-22.457668,62.450768,0.28928928928928926
E38_333,-1.0246497099363838,0.3085308410875476,15.50948,41.31332,0.3333333333333333
E39_419,-0.7171137818308488,-0.30461311016427783,54.23094,5.0484843,0.4194194194194194
E40_499,-1.1030771471806116,-0.37666543640554156,19.015396,13.346415,0.4994994994994995
E41_360,-1.5241048588112058,-0.42460863694341233,21.676702,56.564915,0.36036036036036034
E42_274,-0.7900989397704778,0.7295400729292564,-22.805132,41.76329,0.27427427427427425
E43_756,1.1009227486092144,-1.324622907452862,12.191095,-31.538387,0.7567567567567568
E44_369,-0.9289963598453929,0.3047384629680598,6.660467,44.517162,0.36936936936936937
E45_114,-0.5935139419515721,1.4475643093737416,-39.685715,22.354813,0.11411411411411411
E46_455,-1.6940328748060631,-0.5100919236169387,34.233707,52.916725,0.45545545545545546
E47_300,-1.5040499661637818,-0.0767003643597765,16.526062,30.033306,0.3003003003003003
E48_882,1.0503884025421804,-0.9266400665274604,9.955903,-32.998947,0.8828828828828829
E49_565,-0.4941808436051662,-1.2356672699362665,60.64616,-8.970068,0.5655655655655656
E50_713,1.531319089622789,-0.6937861858066424,19.44752,-63.040337,0.7137137137137137
E51_335,-1.0430279924581682,-0.014654024589728407,8.514481,49.918636,0.3353353353353353
E52_6,0.1715736992621134,2.048829132735271,-52.917065,-24.990282,0.006006006006006006
E53_650,-1.5850343979279178,-0.8623737738745836,2.0444634,7.889843,0.6506506506506506
E54_96,-0.14002089554596223,1.7674242265870066,-71.19248,8.557333,0.0960960960960961
E55_789,1.640235805583156,-0.9916251652714855,26.017944,-52.359493,0.7897897897897898
E56_347,-0.705727934175731,1.392166762754401,-45.283463,25.603357,0.34734734734734735
E57_736,-0.8894738770840632,-1.6990513492216972,-18.72214,-4.976621,0.7367367367367368
E58_842,2.540013511042156,-0.41327503076232974,3.5375376,-66.4335,0.8428428428428428
E59_674,-0.03631594040570572,-0.5706941763829008,0.6654974,-19.642948,0.6746746746746747
E60_912,2.8126474289796106,0.8705086357569051,-39.328346,-44.30889,0.9129129129129129
E61_878,3.1752393102606535,0.8561159988306464,-34.144302,-55.321262,0.8788788788788788
E62_705,1.5127647810316684,-0.5719477437598016,15.800083,-58.221893,0.7057057057057057
E63_604,-0.6556758465993147,-0.6992006163815457,-3.8089454,-5.4424376,0.6046046046046046
E64_942,3.223522727840027,0.8179714085631368,-33.7447,-56.793037,0.9429429429429429
E65_71,-0.5900152476831803,1.6852440131199669,-49.767498,9.564878,0.07107107107107107
E66_635,-0.6272235519235372,-0.4826453116243068,-2.6874058,4.4656873,0.6356356356356356
E67_104,-0.1919695868631267,1.8679090388130564,-57.372005,-7.0494413,0.1041041041041041
